,date_eod,ticker,open,close,high,close.1,volume
2609,2011-12-16,SAMPLE,63.87,63.95,65.38,63.95,2981310
2610,2011-12-19,SAMPLE,64.37,59.71,64.3876,59.71,4280424
2611,2011-12-20,SAMPLE,61.38,63.8,64.0,63.8,3300516
2612,2011-12-21,SAMPLE,63.86,63.76,64.7,63.76,2390059
2613,2011-12-22,SAMPLE,64.0,65.57,66.04,65.57,2463116
2614,2011-12-23,SAMPLE,65.82,65.31,65.96,65.31,1521762
2615,2011-12-27,SAMPLE,65.4,64.95,66.21,64.95,1285612
2616,2011-12-28,SAMPLE,64.82,61.95,65.09,61.95,2382433
2617,2011-12-29,SAMPLE,62.1,62.39,62.71,62.39,2666947
2618,2011-12-30,SAMPLE,62.27,62.35,63.23,62.35,1908263
2619,2012-01-03,SAMPLE,64.51,65.85,66.558,65.85,2954126
2620,2012-01-04,SAMPLE,65.39,66.8,67.91,66.8,4062632
2621,2012-01-05,SAMPLE,66.15,66.39,66.8,66.39,3487443
2622,2012-01-06,SAMPLE,67.61,66.59,67.78,66.59,3653140
2623,2012-01-09,SAMPLE,67.05,66.17,67.26,66.17,2600549
2624,2012-01-10,SAMPLE,68.17,68.82,69.34,68.82,3550315
2625,2012-01-11,SAMPLE,68.36,70.23,70.59,70.23,3798423
2626,2012-01-12,SAMPLE,70.68,71.39,71.59,71.39,3703567
2627,2012-01-13,SAMPLE,70.0,70.25,70.84,70.25,2652296
2628,2012-01-17,SAMPLE,71.73,70.51,71.99,70.51,2295606
2629,2012-01-18,SAMPLE,70.47,71.54,71.93,71.54,2445067
2630,2012-01-19,SAMPLE,71.89,72.03,73.0,72.03,2968872
2631,2012-01-20,SAMPLE,71.79,71.5,72.84,71.5,2224167
2632,2012-01-23,SAMPLE,71.94,72.75,73.29,72.75,2578381
2633,2012-01-24,SAMPLE,71.79,73.9,74.0,73.9,2554908
2634,2012-01-25,SAMPLE,73.37,76.55,76.99,76.55,3546013
2635,2012-01-26,SAMPLE,77.85,75.18,78.85,75.18,2985960
2636,2012-01-27,SAMPLE,70.93,73.06,73.8,73.06,6523445
2637,2012-01-30,SAMPLE,72.13,72.1,73.09,72.1,2615777
2638,2012-01-31,SAMPLE,72.92,72.25,73.3,72.25,3291380
2639,2012-02-01,SAMPLE,73.31,73.1,73.9,73.1,1845633
2640,2012-02-02,SAMPLE,73.48,73.29,74.46,73.29,1978729
2641,2012-02-03,SAMPLE,75.01,75.12,75.92,75.12,2494834
2642,2012-02-06,SAMPLE,74.59,74.99,75.41,74.99,1845899
2643,2012-02-07,SAMPLE,76.77,75.51,77.0,75.51,4368323
2644,2012-02-08,SAMPLE,76.72,76.63,77.67,76.63,2643948
2645,2012-02-09,SAMPLE,77.05,76.23,77.32,76.23,2061038
2646,2012-02-10,SAMPLE,74.88,73.55,75.16,73.55,2981982
2647,2012-02-13,SAMPLE,74.29,71.89,74.43,71.89,3362702
2648,2012-02-14,SAMPLE,71.18,69.91,71.28,69.91,4634607
2649,2012-02-15,SAMPLE,70.49,68.68,70.49,68.68,4246490
2650,2012-02-16,SAMPLE,65.99,68.67,69.12,68.67,5327575
2651,2012-02-17,SAMPLE,68.93,66.72,68.93,66.72,3977699
2652,2012-02-21,SAMPLE,67.4,66.27,68.15,66.27,3620449
2653,2012-02-22,SAMPLE,66.31,65.78,66.63,65.78,2811633
2654,2012-02-23,SAMPLE,65.57,66.11,66.44,66.11,2461740
2655,2012-02-24,SAMPLE,66.44,67.86,68.86,67.86,4040063
2656,2012-02-27,SAMPLE,67.25,66.61,67.67,66.61,3074831
2657,2012-02-28,SAMPLE,66.9,65.47,66.98,65.47,3467069
2658,2012-02-29,SAMPLE,65.82,63.48,65.94,63.48,5236718
2659,2012-03-01,SAMPLE,64.18,64.87,65.41,64.87,3246332
2660,2012-03-02,SAMPLE,64.58,64.02,64.87,64.02,2758721
2661,2012-03-05,SAMPLE,63.57,61.92,63.66,61.92,4230659
2662,2012-03-06,SAMPLE,60.0,60.35,60.93,60.35,4135455
2663,2012-03-07,SAMPLE,60.74,60.19,60.83,60.19,2880141
2664,2012-03-08,SAMPLE,61.1701,61.61,61.9,61.61,2731081
2665,2012-03-09,SAMPLE,62.14,63.99,65.11,63.99,4658629
2666,2012-03-12,SAMPLE,63.92,63.62,64.89,63.62,3052205
2667,2012-03-13,SAMPLE,64.32,64.91,65.0,64.91,2794731
2668,2012-03-14,SAMPLE,68.28,69.5,71.34,69.5,11144350
2669,2012-03-15,SAMPLE,69.67,72.0,72.3,72.0,5986511
2670,2012-03-16,SAMPLE,72.13,72.03,72.64,72.03,4739311
2671,2012-03-19,SAMPLE,71.71,73.17,73.63,73.17,3928931
2672,2012-03-20,SAMPLE,70.4,71.41,71.56,71.41,5729692
2673,2012-03-21,SAMPLE,71.65,71.1,71.92,71.1,3457789
2674,2012-03-22,SAMPLE,69.78,69.05,70.0,69.05,6239319
2675,2012-03-23,SAMPLE,68.76,70.78,71.07,70.78,4150525
2676,2012-03-26,SAMPLE,71.58,70.8,71.59,70.8,2925164
2677,2012-03-27,SAMPLE,71.1,70.14,71.94,70.14,2738776
2678,2012-03-28,SAMPLE,70.0,68.61,70.0,68.61,3684311
2679,2012-03-29,SAMPLE,68.01,70.7,70.8,70.7,3771798
2680,2012-03-30,SAMPLE,71.44,69.26,71.48,69.26,3548882
2681,2012-04-02,SAMPLE,69.26,70.88,71.6,70.88,2959417
2682,2012-04-03,SAMPLE,70.81,70.11,71.14,70.11,2514174
2683,2012-04-04,SAMPLE,68.85,68.28,69.45,68.28,2852717
2684,2012-04-05,SAMPLE,67.94,67.05,69.5,67.05,2890524
2685,2012-04-09,SAMPLE,65.54,66.29,67.09,66.29,3099132
2686,2012-04-10,SAMPLE,66.15,65.77,67.0899,65.77,3870771
2687,2012-04-11,SAMPLE,67.16,66.74,68.46,66.74,3479951
2688,2012-04-12,SAMPLE,67.66,71.16,71.21,71.16,6677648
2689,2012-04-13,SAMPLE,70.18,69.31,70.55,69.31,5039737
2690,2012-04-16,SAMPLE,70.15,69.25,70.8,69.25,7426579
2691,2012-04-17,SAMPLE,69.87,70.37,71.37,70.37,2491287
2692,2012-04-18,SAMPLE,70.15,70.1,71.6,70.1,2572396
2693,2012-04-19,SAMPLE,70.15,68.35,70.15,68.35,6236664
2694,2012-04-20,SAMPLE,68.79,67.3,69.5,67.3,2907788
2695,2012-04-23,SAMPLE,65.7,65.99,66.39,65.99,3634978
2696,2012-04-24,SAMPLE,65.64,66.42,67.4,66.42,2354987
2697,2012-04-25,SAMPLE,67.24,67.11,67.38,67.11,2642115
2698,2012-04-26,SAMPLE,65.2201,63.54,65.34,63.54,6149393
